APLHA      BETA       Preplexity
0.7      0.1       62028.122031742314
0.8999999999999999      0.1       70286.57346952506
1.0999999999999999      0.1       85594.49766295361
1.2999999999999998      0.1       94867.3096881266
1.4999999999999998      0.1       102583.95252886043
1.4999999999999998      0.30000000000000004       58816.30409170734
1.6999999999999997      0.1       105178.2200644686
1.6999999999999997      0.30000000000000004       57773.4276646192
1.8999999999999997      0.1       105524.64745217758
1.8999999999999997      0.30000000000000004       59237.94827747943
2.0999999999999996      0.1       104863.96652271975
2.0999999999999996      0.30000000000000004       59208.33223176771
2.3      0.1       104920.15862944929
2.3      0.30000000000000004       58490.49023721472
2.5      0.1       104580.83869808645
2.5      0.30000000000000004       57915.784608667986
2.7      0.1       103307.88957660593
2.7      0.30000000000000004       57363.654700611885
2.9000000000000004      0.1       104000.24241719648
2.9000000000000004      0.30000000000000004       56865.88459931561
3.1000000000000005      0.1       103337.43086784285
3.1000000000000005      0.30000000000000004       56407.14570987427
3.3000000000000007      0.1       102342.98456815312
3.3000000000000007      0.30000000000000004       56010.15270912544
3.500000000000001      0.1       102144.73153175472
3.500000000000001      0.30000000000000004       55630.2790610233
3.700000000000001      0.1       101343.80113166002
3.700000000000001      0.30000000000000004       55330.70857732672
3.9000000000000012      0.1       101614.4329046921
3.9000000000000012      0.30000000000000004       55039.07554278318
4.100000000000001      0.1       100969.69869440429
4.300000000000002      0.1       100797.96204783133
4.500000000000002      0.1       100505.04434519348
4.700000000000002      0.1       100251.00118025132
4.900000000000002      0.1       99883.5142801821
5.100000000000002      0.1       99675.02218957817
5.3000000000000025      0.1       99584.24920211478
5.500000000000003      0.1       99510.30918641713
5.700000000000003      0.1       98875.16146430549
5.900000000000003      0.1       99234.96524312373
6.100000000000003      0.1       99039.18995701901
6.300000000000003      0.1       98664.30359116531
6.5000000000000036      0.1       98661.02105705974
6.700000000000004      0.1       98175.80830418727
6.900000000000004      0.1       98216.5242929394
7.100000000000004      0.1       98240.05284368694
7.300000000000004      0.1       97714.84866633471
7.500000000000004      0.1       97980.60479069615
7.700000000000005      0.1       97785.47638206989
7.900000000000005      0.1       97588.82186717726
8.100000000000005      0.1       97453.36920118063
8.300000000000004      0.1       97566.72507252877
8.500000000000004      0.1       97535.37129802267
8.700000000000003      0.1       97176.94247857758
8.900000000000002      0.1       97272.15472944362
9.100000000000001      0.1       97475.56038442798
9.3      0.1       96992.87379084068
9.5      0.1       96838.30763855699
9.7      0.1       96638.90857735508
9.899999999999999      0.1       97105.94864155649
